,Gene,Cluster
212,ENSG00000019582,4.0
213,ENSG00000170802,4.0
214,ENSG00000274031,4.0
215,ENSG00000117533,4.0
216,ENSG00000163291,4.0
217,ENSG00000280433,4.0
218,ENSG00000129009,4.0
219,ENSG00000118496,4.0
220,ENSG00000204116,4.0
221,ENSG00000166266,4.0
222,ENSG00000101752,4.0
223,ENSG00000272345,4.0
224,ENSG00000151553,4.0
225,ENSG00000067955,4.0
226,ENSG00000156876,4.0
227,ENSG00000164284,4.0
228,ENSG00000278305,4.0
229,ENSG00000155545,4.0
230,ENSG00000279013,4.0
231,ENSG00000006576,4.0
232,ENSG00000116191,4.0
233,ENSG00000168116,4.0
234,ENSG00000235288,4.0
235,ENSG00000117620,4.0
236,ENSG00000125730,4.0
237,ENSG00000275740,4.0
238,ENSG00000171150,4.0
239,ENSG00000257151,4.0
240,ENSG00000260878,4.0
241,ENSG00000260686,4.0
242,ENSG00000175105,4.0
243,ENSG00000087338,4.0
244,ENSG00000186908,4.0
245,ENSG00000272579,4.0
246,ENSG00000156531,4.0
247,ENSG00000042493,4.0
248,ENSG00000163743,4.0
249,ENSG00000170571,4.0
250,ENSG00000105829,4.0
251,ENSG00000119314,4.0
252,ENSG00000104427,4.0
253,ENSG00000091844,4.0
254,ENSG00000186017,4.0
255,ENSG00000174842,4.0
256,ENSG00000077147,4.0
257,ENSG00000151881,4.0
258,ENSG00000036054,4.0
259,ENSG00000081087,4.0
260,ENSG00000077458,4.0
261,ENSG00000260160,4.0
262,ENSG00000132485,4.0
263,ENSG00000196482,4.0
264,ENSG00000163738,4.0
265,ENSG00000086619,4.0
266,ENSG00000177917,4.0
267,ENSG00000122435,4.0
268,ENSG00000188725,4.0
269,ENSG00000119535,4.0
270,ENSG00000113658,4.0
271,ENSG00000070367,4.0
272,ENSG00000100979,4.0
273,ENSG00000170677,4.0
274,ENSG00000107560,4.0
275,ENSG00000272807,4.0
276,ENSG00000119048,4.0
277,ENSG00000123552,4.0
278,ENSG00000280106,4.0
279,ENSG00000166471,4.0
280,ENSG00000110876,4.0
281,ENSG00000213047,4.0
282,ENSG00000174132,4.0
283,ENSG00000108443,4.0
284,ENSG00000118596,4.0
285,ENSG00000112996,4.0
286,ENSG00000149131,4.0
287,ENSG00000168899,4.0
288,ENSG00000234745,4.0
289,ENSG00000111790,4.0
290,ENSG00000120756,4.0
291,ENSG00000231852,4.0
292,ENSG00000121579,4.0
293,ENSG00000137449,4.0
294,ENSG00000270777,4.0
295,ENSG00000184203,4.0
296,ENSG00000160678,4.0
297,ENSG00000164180,4.0
298,ENSG00000155100,4.0
299,ENSG00000166068,4.0
300,ENSG00000122042,4.0
301,ENSG00000159403,4.0
302,ENSG00000163848,4.0
303,ENSG00000196865,4.0
304,ENSG00000180488,4.0
305,ENSG00000112237,4.0
306,ENSG00000204217,4.0
307,ENSG00000267731,4.0
308,ENSG00000107789,4.0
309,ENSG00000120885,4.0
310,ENSG00000153956,4.0
311,ENSG00000080345,4.0
312,ENSG00000165832,4.0
313,ENSG00000111727,4.0
314,ENSG00000151229,4.0
315,ENSG00000121879,4.0
316,ENSG00000198780,4.0
317,ENSG00000151414,4.0
318,ENSG00000269955,4.0
319,ENSG00000137414,4.0
320,ENSG00000113594,4.0
321,ENSG00000198146,4.0
322,ENSG00000138660,4.0
323,ENSG00000143401,4.0
324,ENSG00000175305,4.0
325,ENSG00000174738,4.0
326,ENSG00000172766,4.0
327,ENSG00000267776,4.0
328,ENSG00000135932,4.0
329,ENSG00000153006,4.0
330,ENSG00000112697,4.0
331,ENSG00000231607,4.0
332,ENSG00000256667,4.0
333,ENSG00000137770,4.0
334,ENSG00000198168,4.0
335,ENSG00000169570,4.0
336,ENSG00000144362,4.0
337,ENSG00000185129,4.0
338,ENSG00000271614,4.0
339,ENSG00000273301,4.0
340,ENSG00000173674,4.0
341,ENSG00000181450,4.0
342,ENSG00000178691,4.0
343,ENSG00000273226,4.0
344,ENSG00000074695,4.0
345,ENSG00000275580,4.0
346,ENSG00000156735,4.0
347,ENSG00000066557,4.0
348,ENSG00000213976,4.0
349,ENSG00000113638,4.0
350,ENSG00000172469,4.0
351,ENSG00000076554,4.0
352,ENSG00000134371,4.0
353,ENSG00000160131,4.0
354,ENSG00000269952,4.0
355,ENSG00000206503,4.0
356,ENSG00000083312,4.0
357,ENSG00000180917,4.0
358,ENSG00000113583,4.0
359,ENSG00000011566,4.0
360,ENSG00000189171,4.0
361,ENSG00000174348,4.0
362,ENSG00000116750,4.0
363,ENSG00000120696,4.0
364,ENSG00000082269,4.0
365,ENSG00000166225,4.0
366,ENSG00000164603,4.0
367,ENSG00000133657,4.0
368,ENSG00000164327,4.0
369,ENSG00000091009,4.0
370,ENSG00000166278,4.0
371,ENSG00000053770,4.0
