,Gene,Cluster
212,ENSG00000021574,1.0
213,ENSG00000114353,1.0
214,ENSG00000117620,1.0
215,ENSG00000164054,1.0
216,ENSG00000155903,1.0
217,ENSG00000187244,1.0
218,ENSG00000196924,1.0
219,ENSG00000132000,1.0
220,ENSG00000145506,1.0
221,ENSG00000112237,1.0
222,ENSG00000133246,1.0
223,ENSG00000155329,1.0
224,ENSG00000087077,1.0
225,ENSG00000133731,1.0
226,ENSG00000215612,1.0
227,ENSG00000272910,1.0
228,ENSG00000070367,1.0
229,ENSG00000085117,1.0
230,ENSG00000166225,1.0
231,ENSG00000171680,1.0
232,ENSG00000173227,1.0
233,ENSG00000205189,1.0
234,ENSG00000115457,1.0
235,ENSG00000108064,1.0
236,ENSG00000122435,1.0
237,ENSG00000214063,1.0
238,ENSG00000146476,1.0
239,ENSG00000135932,1.0
240,ENSG00000185187,1.0
241,ENSG00000270659,1.0
242,ENSG00000102081,1.0
243,ENSG00000196504,1.0
244,ENSG00000266964,1.0
245,ENSG00000128609,1.0
246,ENSG00000101443,1.0
247,ENSG00000179094,1.0
248,ENSG00000149451,1.0
249,ENSG00000180998,1.0
250,ENSG00000131095,1.0
251,ENSG00000134758,1.0
252,ENSG00000178026,1.0
253,ENSG00000168071,1.0
254,ENSG00000134987,1.0
255,ENSG00000155545,1.0
256,ENSG00000154358,1.0
257,ENSG00000170075,1.0
258,ENSG00000116747,1.0
259,ENSG00000110446,1.0
260,ENSG00000255182,1.0
261,ENSG00000121900,1.0
262,ENSG00000090013,1.0
263,ENSG00000112697,1.0
264,ENSG00000164114,1.0
265,ENSG00000116191,1.0
266,ENSG00000075089,1.0
267,ENSG00000177106,1.0
268,ENSG00000130702,1.0
269,ENSG00000260807,1.0
270,ENSG00000136603,1.0
271,ENSG00000204580,1.0
272,ENSG00000126821,1.0
273,ENSG00000163931,1.0
274,ENSG00000182179,1.0
275,ENSG00000170889,1.0
276,ENSG00000123384,1.0
277,ENSG00000155366,1.0
278,ENSG00000175893,1.0
279,ENSG00000113966,1.0
280,ENSG00000140367,1.0
281,ENSG00000186577,1.0
282,ENSG00000133641,1.0
283,ENSG00000197275,1.0
284,ENSG00000138964,1.0
285,ENSG00000130592,1.0
286,ENSG00000180776,1.0
287,ENSG00000099994,1.0
288,ENSG00000105655,1.0
289,ENSG00000175105,1.0
290,ENSG00000137285,1.0
291,ENSG00000165416,1.0
292,ENSG00000236287,1.0
293,ENSG00000233276,1.0
294,ENSG00000169446,1.0
295,ENSG00000100599,1.0
296,ENSG00000172935,1.0
297,ENSG00000102753,1.0
298,ENSG00000140961,1.0
299,ENSG00000175073,1.0
300,ENSG00000168060,1.0
301,ENSG00000155304,1.0
302,ENSG00000168913,1.0
303,ENSG00000138080,1.0
304,ENSG00000080573,1.0
305,ENSG00000107816,1.0
306,ENSG00000164050,1.0
307,ENSG00000137414,1.0
308,ENSG00000169019,1.0
309,ENSG00000116489,1.0
310,ENSG00000099889,1.0
311,ENSG00000086666,1.0
312,ENSG00000166924,1.0
313,ENSG00000102265,1.0
314,ENSG00000166200,1.0
315,ENSG00000163104,1.0
316,ENSG00000112996,1.0
317,ENSG00000114405,1.0
318,ENSG00000198598,1.0
319,ENSG00000130203,1.0
320,ENSG00000168970,1.0
321,ENSG00000168283,1.0
322,ENSG00000165487,1.0
323,ENSG00000142347,1.0
324,ENSG00000196187,1.0
325,ENSG00000109133,1.0
326,ENSG00000105707,1.0
327,ENSG00000176018,1.0
328,ENSG00000142303,1.0
329,ENSG00000185633,1.0
330,ENSG00000154727,1.0
331,ENSG00000159840,1.0
332,ENSG00000170382,1.0
333,ENSG00000120992,1.0
334,ENSG00000163040,1.0
335,ENSG00000011600,1.0
336,ENSG00000272345,1.0
337,ENSG00000085365,1.0
338,ENSG00000205208,1.0
339,ENSG00000137726,1.0
340,ENSG00000164284,1.0
341,ENSG00000106089,1.0
342,ENSG00000131435,1.0
343,ENSG00000271324,1.0
344,ENSG00000148943,1.0
345,ENSG00000203485,1.0
346,ENSG00000183735,1.0
347,ENSG00000164877,1.0
348,ENSG00000106211,1.0
349,ENSG00000167371,1.0
350,ENSG00000130158,1.0
351,ENSG00000156017,1.0
352,ENSG00000168140,1.0
353,ENSG00000153006,1.0
354,ENSG00000077458,1.0
355,ENSG00000141446,1.0
356,ENSG00000115145,1.0
357,ENSG00000137770,1.0
358,ENSG00000198780,1.0
359,ENSG00000063660,1.0
360,ENSG00000183773,1.0
361,ENSG00000162591,1.0
362,ENSG00000183018,1.0
363,ENSG00000141526,1.0
364,ENSG00000260838,1.0
365,ENSG00000100299,1.0
366,ENSG00000143401,1.0
367,ENSG00000187091,1.0
368,ENSG00000196218,1.0
369,ENSG00000135424,1.0
370,ENSG00000089335,1.0
371,ENSG00000164488,1.0
372,ENSG00000106565,1.0
373,ENSG00000169967,1.0
374,ENSG00000260403,1.0
375,ENSG00000099625,1.0
376,ENSG00000223953,1.0
377,ENSG00000158711,1.0
378,ENSG00000240972,1.0
379,ENSG00000114331,1.0
380,ENSG00000184925,1.0
381,ENSG00000122068,1.0
382,ENSG00000251569,1.0
383,ENSG00000164118,1.0
384,ENSG00000118454,1.0
385,ENSG00000100483,1.0
386,ENSG00000110651,1.0
387,ENSG00000197841,1.0
388,ENSG00000117569,1.0
389,ENSG00000087250,1.0
390,ENSG00000100528,1.0
391,ENSG00000180008,1.0
392,ENSG00000160223,1.0
393,ENSG00000272301,1.0
394,ENSG00000156162,1.0
395,ENSG00000213654,1.0
396,ENSG00000116661,1.0
397,ENSG00000121579,1.0
398,ENSG00000100429,1.0
399,ENSG00000163738,1.0
400,ENSG00000118496,1.0
401,ENSG00000088992,1.0
402,ENSG00000122417,1.0
403,ENSG00000100346,1.0
404,ENSG00000105227,1.0
405,ENSG00000164603,1.0
406,ENSG00000221823,1.0
407,ENSG00000159674,1.0
408,ENSG00000165912,1.0
409,ENSG00000135316,1.0
410,ENSG00000107854,1.0
411,ENSG00000168490,1.0
412,ENSG00000177700,1.0
413,ENSG00000172766,1.0
414,ENSG00000071189,1.0
415,ENSG00000107281,1.0
416,ENSG00000011566,1.0
417,ENSG00000213672,1.0
418,ENSG00000177485,1.0
419,ENSG00000188157,1.0
420,ENSG00000213199,1.0
421,ENSG00000099864,1.0
422,ENSG00000180638,1.0
423,ENSG00000139793,1.0
424,ENSG00000066557,1.0
425,ENSG00000138459,1.0
426,ENSG00000168056,1.0
427,ENSG00000120896,1.0
428,ENSG00000187186,1.0
429,ENSG00000197859,1.0
430,ENSG00000058063,1.0
431,ENSG00000075790,1.0
432,ENSG00000171448,1.0
433,ENSG00000006071,1.0
434,ENSG00000151743,1.0
435,ENSG00000160285,1.0
436,ENSG00000183114,1.0
437,ENSG00000281348,1.0
438,ENSG00000100532,1.0
439,ENSG00000117013,1.0
440,ENSG00000103202,1.0
441,ENSG00000006576,1.0
442,ENSG00000239268,1.0
443,ENSG00000172795,1.0
444,ENSG00000177595,1.0
445,ENSG00000105849,1.0
446,ENSG00000185697,1.0
447,ENSG00000108061,1.0
448,ENSG00000075618,1.0
449,ENSG00000162409,1.0
450,ENSG00000095321,1.0
451,ENSG00000068137,1.0
452,ENSG00000196437,1.0
453,ENSG00000184730,1.0
454,ENSG00000185127,1.0
455,ENSG00000014216,1.0
456,ENSG00000105552,1.0
457,ENSG00000187735,1.0
458,ENSG00000116260,1.0
459,ENSG00000083444,1.0
460,ENSG00000198483,1.0
461,ENSG00000158411,1.0
462,ENSG00000166482,1.0
463,ENSG00000104870,1.0
464,ENSG00000144744,1.0
465,ENSG00000152520,1.0
466,ENSG00000182809,1.0
467,ENSG00000058729,1.0
468,ENSG00000242173,1.0
469,ENSG00000121481,1.0
470,ENSG00000188725,1.0
471,ENSG00000198162,1.0
472,ENSG00000104529,1.0
473,ENSG00000122643,1.0
474,ENSG00000159714,1.0
475,ENSG00000154429,1.0
476,ENSG00000162576,1.0
477,ENSG00000111727,1.0
478,ENSG00000187796,1.0
479,ENSG00000114107,1.0
480,ENSG00000173486,1.0
481,ENSG00000173531,1.0
482,ENSG00000178814,1.0
483,ENSG00000184371,1.0
484,ENSG00000088179,1.0
485,ENSG00000121879,1.0
486,ENSG00000240857,1.0
487,ENSG00000142173,1.0
488,ENSG00000121350,1.0
489,ENSG00000072401,1.0
490,ENSG00000133703,1.0
491,ENSG00000177576,1.0
492,ENSG00000161677,1.0
493,ENSG00000100744,1.0
494,ENSG00000186298,1.0
495,ENSG00000140398,1.0
496,ENSG00000110719,1.0
497,ENSG00000054148,1.0
498,ENSG00000164244,1.0
499,ENSG00000168116,1.0
500,ENSG00000146247,1.0
501,ENSG00000197355,1.0
502,ENSG00000139133,1.0
503,ENSG00000225663,1.0
504,ENSG00000163462,1.0
505,ENSG00000106633,1.0
506,ENSG00000272054,1.0
507,ENSG00000177034,1.0
508,ENSG00000119965,1.0
509,ENSG00000154134,1.0
510,ENSG00000254815,1.0
511,ENSG00000155970,1.0
512,ENSG00000250510,1.0
513,ENSG00000051523,1.0
514,ENSG00000128228,1.0
515,ENSG00000139921,1.0
516,ENSG00000130881,1.0
517,ENSG00000152082,1.0
518,ENSG00000213445,1.0
519,ENSG00000114270,1.0
520,ENSG00000164144,1.0
521,ENSG00000143971,1.0
522,ENSG00000013364,1.0
523,ENSG00000116663,1.0
524,ENSG00000174010,1.0
525,ENSG00000136002,1.0
526,ENSG00000168961,1.0
527,ENSG00000112739,1.0
528,ENSG00000082213,1.0
529,ENSG00000111344,1.0
530,ENSG00000142875,1.0
531,ENSG00000172466,1.0
532,ENSG00000118402,1.0
533,ENSG00000116266,1.0
534,ENSG00000141522,1.0
535,ENSG00000197601,1.0
536,ENSG00000180228,1.0
537,ENSG00000151414,1.0
538,ENSG00000166278,1.0
539,ENSG00000183814,1.0
540,ENSG00000171016,1.0
541,ENSG00000169692,1.0
542,ENSG00000109610,1.0
543,ENSG00000188186,1.0
544,ENSG00000156735,1.0
545,ENSG00000162572,1.0
546,ENSG00000121905,1.0
547,ENSG00000130707,1.0
548,ENSG00000116586,1.0
549,ENSG00000064703,1.0
550,ENSG00000087338,1.0
551,ENSG00000155975,1.0
552,ENSG00000132793,1.0
553,ENSG00000089847,1.0
554,ENSG00000225138,1.0
555,ENSG00000153443,1.0
556,ENSG00000196465,1.0
557,ENSG00000127588,1.0
558,ENSG00000181790,1.0
559,ENSG00000161682,1.0
560,ENSG00000160131,1.0
561,ENSG00000004766,1.0
562,ENSG00000115084,1.0
563,ENSG00000126368,1.0
564,ENSG00000171219,1.0
565,ENSG00000196937,1.0
566,ENSG00000270720,1.0
567,ENSG00000110057,1.0
568,ENSG00000148671,1.0
569,ENSG00000143469,1.0
570,ENSG00000271830,1.0
571,ENSG00000130255,1.0
572,ENSG00000149571,1.0
573,ENSG00000079462,1.0
574,ENSG00000182492,1.0
575,ENSG00000278817,1.0
576,ENSG00000184640,1.0
577,ENSG00000162664,1.0
578,ENSG00000177943,1.0
579,ENSG00000117122,1.0
580,ENSG00000156531,1.0
581,ENSG00000119787,1.0
582,ENSG00000123453,1.0
583,ENSG00000162729,1.0
584,ENSG00000171262,1.0
585,ENSG00000182628,1.0
586,ENSG00000173542,1.0
587,ENSG00000114744,1.0
588,ENSG00000187486,1.0
589,ENSG00000088826,1.0
590,ENSG00000197323,1.0
591,ENSG00000119953,1.0
592,ENSG00000115266,1.0
593,ENSG00000124006,1.0
594,ENSG00000164327,1.0
595,ENSG00000198791,1.0
596,ENSG00000185215,1.0
597,ENSG00000157368,1.0
598,ENSG00000167508,1.0
599,ENSG00000256453,1.0
600,ENSG00000175087,1.0
601,ENSG00000102878,1.0
602,ENSG00000162607,1.0
603,ENSG00000139154,1.0
604,ENSG00000105767,1.0
605,ENSG00000151247,1.0
606,ENSG00000157637,1.0
607,ENSG00000107643,1.0
608,ENSG00000090060,1.0
609,ENSG00000166925,1.0
610,ENSG00000109270,1.0
611,ENSG00000153266,1.0
612,ENSG00000198015,1.0
613,ENSG00000078140,1.0
614,ENSG00000104518,1.0
615,ENSG00000132635,1.0
616,ENSG00000177469,1.0
617,ENSG00000166479,1.0
618,ENSG00000104626,1.0
619,ENSG00000213976,1.0
620,ENSG00000144908,1.0
621,ENSG00000090006,1.0
622,ENSG00000113387,1.0
623,ENSG00000181450,1.0
624,ENSG00000122482,1.0
625,ENSG00000171150,1.0
626,ENSG00000166128,1.0
627,ENSG00000113658,1.0
628,ENSG00000153989,1.0
629,ENSG00000110237,1.0
630,ENSG00000095970,1.0
631,ENSG00000172354,1.0
632,ENSG00000122042,1.0
633,ENSG00000162368,1.0
634,ENSG00000107521,1.0
635,ENSG00000174695,1.0
636,ENSG00000120686,1.0
637,ENSG00000152219,1.0
638,ENSG00000111802,1.0
639,ENSG00000142156,1.0
640,ENSG00000131409,1.0
641,ENSG00000011258,1.0
642,ENSG00000178074,1.0
643,ENSG00000076554,1.0
644,ENSG00000121864,1.0
645,ENSG00000100092,1.0
646,ENSG00000137504,1.0
647,ENSG00000205090,1.0
648,ENSG00000196323,1.0
649,ENSG00000164332,1.0
650,ENSG00000104290,1.0
651,ENSG00000081087,1.0
652,ENSG00000165417,1.0
653,ENSG00000138468,1.0
654,ENSG00000064545,1.0
655,ENSG00000168918,1.0
656,ENSG00000117505,1.0
657,ENSG00000204498,1.0
658,ENSG00000129292,1.0
659,ENSG00000107560,1.0
660,ENSG00000168564,1.0
661,ENSG00000042286,1.0
662,ENSG00000074964,1.0
