,sample,clusters
77,406_1,0.0
208,407_2,1.0
209,409_3,1.0
204,40_2,1.0
210,410_2,1.0
211,411_4,2.0
212,412_3,3.0
79,413_1,0.0
80,414_1,0.0
81,415_1,0.0
213,416_4,3.0
214,417_4,1.0
215,418_3,4.0
216,419_4,1.0
78,41_1,0.0
217,420_4,1.0
218,421_3,4.0
219,422_3,4.0
220,423_2,4.0
221,424_2,1.0
83,425_1,0.0
222,426_3,1.0
223,427_2,1.0
224,428_4,3.0
225,429_3,4.0
82,42_1,0.0
226,430_3,3.0
227,431_3,3.0
228,432_3,3.0
229,433_2,3.0
230,434_2,4.0
231,435_2,4.0
232,436_2,3.0
233,437_4,3.0
234,438_2,3.0
84,43_1,0.0
235,440_2,4.0
236,441_2,4.0
237,442_2,3.0
238,443_2,3.0
239,445_2,1.0
240,446_3,4.0
85,447_1,0.0
241,448_3,4.0
242,449_3,4.0
244,450_3,4.0
245,451_4,4.0
86,452_1,0.0
246,453_2,2.0
247,454_3,4.0
248,456_3,3.0
249,457_3,3.0
250,458_3,3.0
251,459_4,3.0
243,45_3,3.0
253,461_3,3.0
254,462_3,1.0
255,463_3,4.0
256,464_3,4.0
257,465_2,1.0
87,466_1,0.0
258,467_3,3.0
88,468_1,0.0
252,46_4,1.0
260,470_2,1.0
261,471_2,1.0
262,473_4,3.0
263,474_3,1.0
264,475_3,1.0
265,476_3,1.0
266,477_4,3.0
267,478_3,2.0
268,479_2,4.0
259,47_4,1.0
89,480_1,0.0
270,482_3,3.0
271,483_3,4.0
272,484_4,3.0
273,485_2,1.0
274,486_2,1.0
275,487_2,1.0
276,488_2,1.0
277,489_3,3.0
269,48_2,1.0
90,490_1,0.0
91,491_1,0.0
279,492_3,3.0
280,494_2,4.0
92,495_1,0.0
281,496_3,4.0
282,497_4,2.0
93,499_1,0.0
278,49_2,3.0
74,4_1,0.0
284,500_3,3.0
94,501_1,0.0
285,502_2,3.0
95,503_1,0.0
286,504_2,3.0
287,505_2,3.0
96,506_1,0.0
288,507_2,4.0
289,508_2,3.0
290,509_4,3.0
283,50_2,3.0
292,510_2,3.0
293,511_3,3.0
294,512_2,1.0
295,514_3,4.0
296,515_4,4.0
297,516_4,4.0
97,517_1,0.0
98,518_1,0.0
298,519_3,3.0
291,51_2,1.0
299,520_3,4.0
300,521_4,4.0
301,522_2,1.0
302,523_4,1.0
303,524_2,3.0
304,525_2,3.0
99,526_1,0.0
305,527_3,4.0
306,528_2,3.0
307,529_2,3.0
309,530_3,2.0
308,53_2,2.0
310,55_3,1.0
311,56_2,3.0
312,57_2,3.0
313,58_2,2.0
314,59_3,3.0
