,Ensemble ID,Cluster 1,Cluster 2
176,"""ENSG00000257800""",1,2
177,"""ENSG00000261423""",0,2
178,"""ENSG00000185090""",0,2
179,"""ENSG00000106804""",1,2
180,"""ENSG00000280063""",0,2
181,"""ENSG00000108370""",0,2
182,"""ENSG00000144426""",1,2
183,"""ENSG00000214336""",0,2
184,"""ENSG00000267632""",0,2
185,"""ENSG00000166801""",1,2
186,"""ENSG00000162951""",0,2
187,"""ENSG00000260992""",0,2
188,"""ENSG00000182348""",1,2
189,"""ENSG00000269699""",0,2
190,"""ENSG00000147799""",0,2
191,"""ENSG00000135763""",0,2
192,"""ENSG00000271880""",0,2
193,"""ENSG00000115355""",1,2
194,"""ENSG00000142207""",0,2
195,"""ENSG00000281453""",0,1
196,"""ENSG00000180747""",1,2
197,"""ENSG00000105447""",0,2
198,"""ENSG00000268521""",1,2
199,"""ENSG00000065413""",1,2
200,"""ENSG00000132382""",0,2
201,"""ENSG00000136010""",1,2
202,"""ENSG00000151746""",1,2
203,"""ENSG00000120314""",0,2
204,"""ENSG00000100350""",0,2
205,"""ENSG00000043143""",0,2
206,"""ENSG00000173258""",1,2
207,"""ENSG00000270157""",1,2
208,"""ENSG00000174145""",1,2
209,"""ENSG00000241549""",1,2
210,"""ENSG00000275120""",0,2
211,"""ENSG00000176208""",1,2
212,"""ENSG00000181222""",0,2
213,"""ENSG00000123360""",0,2
214,"""ENSG00000253537""",0,2
215,"""ENSG00000166862""",0,2
216,"""ENSG00000188185""",0,2
217,"""ENSG00000242338""",0,2
218,"""ENSG00000227741""",0,2
219,"""ENSG00000253846""",0,2
220,"""ENSG00000112293""",0,2
221,"""ENSG00000089250""",0,2
222,"""ENSG00000274964""",1,2
223,"""ENSG00000280828""",0,2
224,"""ENSG00000103021""",0,2
225,"""ENSG00000118690""",1,2
226,"""ENSG00000145888""",0,2
227,"""ENSG00000198018""",0,2
228,"""ENSG00000182752""",0,2
229,"""ENSG00000278897""",1,2
230,"""ENSG00000132275""",0,2
231,"""ENSG00000264343""",1,2
232,"""ENSG00000204514""",0,2
233,"""ENSG00000058056""",1,2
234,"""ENSG00000271741""",0,2
235,"""ENSG00000224914""",0,2
236,"""ENSG00000136297""",0,2
237,"""ENSG00000267909""",0,2
238,"""ENSG00000176715""",0,2
239,"""ENSG00000145087""",1,2
240,"""ENSG00000197818""",0,2
241,"""ENSG00000156103""",1,2
242,"""ENSG00000283515""",0,2
243,"""ENSG00000080224""",1,2
244,"""ENSG00000226200""",1,2
245,"""ENSG00000067064""",0,1
246,"""ENSG00000099365""",0,2
247,"""ENSG00000271714""",1,2
248,"""ENSG00000247011""",0,2
249,"""ENSG00000244879""",1,2
250,"""ENSG00000215695""",1,2
251,"""ENSG00000137628""",1,2
252,"""ENSG00000126883""",0,2
253,"""ENSG00000164169""",1,2
254,"""ENSG00000283088""",1,2
255,"""ENSG00000166707""",0,2
256,"""ENSG00000103037""",0,2
257,"""ENSG00000283503""",1,2
258,"""ENSG00000196361""",0,2
259,"""ENSG00000196155""",0,2
260,"""ENSG00000185019""",0,2
261,"""ENSG00000272140""",0,2
262,"""ENSG00000102908""",1,2
263,"""ENSG00000028310""",0,2
264,"""ENSG00000102743""",1,2
265,"""ENSG00000198556""",0,2
266,"""ENSG00000178921""",0,2
267,"""ENSG00000176293""",0,2
268,"""ENSG00000242419""",0,2
269,"""ENSG00000265148""",0,2
270,"""ENSG00000114631""",0,2
271,"""ENSG00000156050""",0,2
272,"""ENSG00000213742""",0,2
273,"""ENSG00000102595""",1,2
274,"""ENSG00000135709""",0,2
275,"""ENSG00000162408""",0,2
276,"""ENSG00000133739""",1,2
277,"""ENSG00000198785""",1,2
278,"""ENSG00000029534""",0,2
279,"""ENSG00000259030""",1,2
280,"""ENSG00000259488""",1,2
281,"""ENSG00000269916""",0,1
282,"""ENSG00000151067""",0,2
283,"""ENSG00000109111""",0,2
284,"""ENSG00000255508""",0,2
285,"""ENSG00000249471""",0,2
286,"""ENSG00000269352""",0,2
287,"""ENSG00000269343""",0,2
288,"""ENSG00000053108""",0,2
289,"""ENSG00000259865""",0,2
290,"""ENSG00000135111""",1,2
291,"""ENSG00000247137""",0,2
292,"""ENSG00000144583""",0,2
293,"""ENSG00000163492""",1,2
294,"""ENSG00000137203""",0,2
295,"""ENSG00000262879""",0,2
296,"""ENSG00000214331""",0,2
297,"""ENSG00000174501""",0,2
298,"""ENSG00000078319""",0,2
299,"""ENSG00000121207""",1,2
300,"""ENSG00000138380""",1,2
301,"""ENSG00000152439""",0,2
302,"""ENSG00000093217""",0,2
303,"""ENSG00000174384""",0,2
304,"""ENSG00000236144""",0,2
305,"""ENSG00000150990""",0,2
306,"""ENSG00000059588""",1,2
307,"""ENSG00000083535""",1,2
308,"""ENSG00000080603""",0,2
309,"""ENSG00000148408""",0,2
310,"""ENSG00000137145""",1,2
311,"""ENSG00000276234""",0,2
312,"""ENSG00000183935""",0,2
313,"""ENSG00000234912""",0,2
314,"""ENSG00000196074""",1,2
315,"""ENSG00000185666""",0,2
316,"""ENSG00000111249""",0,2
317,"""ENSG00000179922""",0,2
318,"""ENSG00000269514""",1,2
319,"""ENSG00000221923""",1,2
320,"""ENSG00000228801""",0,2
321,"""ENSG00000010318""",0,2
322,"""ENSG00000120800""",1,2
323,"""ENSG00000283050""",0,2
324,"""ENSG00000196453""",0,2
325,"""ENSG00000078177""",1,2
326,"""ENSG00000153253""",1,2
327,"""ENSG00000267152""",0,2
328,"""ENSG00000135976""",0,2
329,"""ENSG00000268996""",0,2
330,"""ENSG00000228828""",1,2
331,"""ENSG00000151413""",1,2
332,"""ENSG00000126215""",0,2
333,"""ENSG00000140650""",0,2
334,"""ENSG00000214837""",0,2
335,"""ENSG00000164684""",1,2
336,"""ENSG00000223893""",1,2
337,"""ENSG00000173258""",0,2
338,"""ENSG00000116151""",0,2
339,"""ENSG00000166377""",1,2
340,"""ENSG00000009694""",1,2
341,"""ENSG00000168702""",1,2
342,"""ENSG00000139718""",0,2
343,"""ENSG00000138622""",0,2
344,"""ENSG00000279693""",0,2
345,"""ENSG00000269743""",0,2
346,"""ENSG00000163521""",0,2
347,"""ENSG00000167703""",0,2
348,"""ENSG00000273014""",0,2
349,"""ENSG00000276997""",0,2
350,"""ENSG00000274487""",0,2
351,"""ENSG00000139714""",0,2
352,"""ENSG00000197429""",1,2
353,"""ENSG00000203668""",1,2
354,"""ENSG00000148296""",0,2
355,"""ENSG00000126733""",1,2
356,"""ENSG00000173588""",1,2
357,"""ENSG00000223745""",1,2
358,"""ENSG00000143032""",0,2
359,"""ENSG00000267152""",0,1
360,"""ENSG00000215421""",1,2
361,"""ENSG00000116649""",0,2
362,"""ENSG00000278834""",0,2
363,"""ENSG00000163214""",0,2
364,"""ENSG00000204569""",0,2
365,"""ENSG00000170468""",0,2
366,"""ENSG00000175054""",1,2
367,"""ENSG00000165115""",1,2
368,"""ENSG00000145920""",0,2
369,"""ENSG00000246339""",0,2
370,"""ENSG00000188133""",1,2
371,"""ENSG00000171811""",0,2
372,"""ENSG00000166342""",1,2
373,"""ENSG00000077232""",1,2
374,"""ENSG00000142149""",0,2
375,"""ENSG00000172006""",0,2
376,"""ENSG00000158077""",0,2
377,"""ENSG00000107185""",0,2
378,"""ENSG00000169181""",0,2
379,"""ENSG00000103319""",0,2
380,"""ENSG00000166257""",1,2
381,"""ENSG00000165323""",1,2
382,"""ENSG00000168852""",1,2
383,"""ENSG00000157911""",0,2
384,"""ENSG00000198707""",1,2
385,"""ENSG00000224940""",0,2
386,"""ENSG00000229589""",0,2
387,"""ENSG00000278467""",1,2
388,"""ENSG00000138738""",1,2
389,"""ENSG00000172167""",1,2
390,"""ENSG00000152894""",1,2
391,"""ENSG00000134146""",1,2
392,"""ENSG00000182752""",1,2
393,"""ENSG00000245849""",0,2
394,"""ENSG00000261101""",1,2
395,"""ENSG00000144535""",0,2
396,"""ENSG00000185730""",0,2
397,"""ENSG00000112245""",0,1
398,"""ENSG00000119720""",0,2
399,"""ENSG00000141098""",0,2
400,"""ENSG00000136877""",0,2
401,"""ENSG00000234857""",0,2
402,"""ENSG00000241975""",0,2
403,"""ENSG00000139304""",1,2
404,"""ENSG00000198106""",0,2
405,"""ENSG00000113248""",1,2
406,"""ENSG00000205838""",1,2
407,"""ENSG00000163093""",0,2
408,"""ENSG00000165055""",0,2
409,"""ENSG00000248866""",1,2
410,"""ENSG00000131171""",0,1
411,"""ENSG00000272983""",1,2
412,"""ENSG00000150625""",0,1
413,"""ENSG00000261934""",0,2
414,"""ENSG00000111879""",1,2
415,"""ENSG00000164080""",0,2
416,"""ENSG00000213020""",0,2
417,"""ENSG00000059588""",0,2
418,"""ENSG00000232104""",0,2
419,"""ENSG00000144366""",0,1
420,"""ENSG00000226200""",0,2
421,"""ENSG00000197959""",1,2
422,"""ENSG00000053372""",0,2
423,"""ENSG00000155052""",0,2
424,"""ENSG00000128908""",0,2
425,"""ENSG00000177302""",0,2
426,"""ENSG00000269001""",0,2
427,"""ENSG00000133687""",1,2
428,"""ENSG00000178409""",0,2
429,"""ENSG00000165802""",0,2
430,"""ENSG00000267904""",1,2
431,"""ENSG00000169951""",0,2
432,"""ENSG00000250959""",1,2
433,"""ENSG00000240429""",1,2
434,"""ENSG00000134461""",0,2
435,"""ENSG00000184611""",1,2
436,"""ENSG00000204177""",1,2
437,"""ENSG00000118564""",1,2
438,"""ENSG00000130037""",0,2
439,"""ENSG00000126243""",0,2
440,"""ENSG00000197008""",1,2
441,"""ENSG00000102924""",0,2
442,"""ENSG00000160229""",1,2
443,"""ENSG00000183137""",1,2
444,"""ENSG00000254585""",0,2
445,"""ENSG00000134775""",0,2
446,"""ENSG00000186523""",0,2
447,"""ENSG00000077264""",1,2
448,"""ENSG00000171681""",1,2
449,"""ENSG00000215906""",0,2
450,"""ENSG00000157870""",0,2
451,"""ENSG00000154743""",0,2
452,"""ENSG00000257489""",1,2
453,"""ENSG00000197763""",1,2
454,"""ENSG00000155034""",0,2
455,"""ENSG00000112293""",1,2
456,"""ENSG00000170579""",0,2
457,"""ENSG00000234664""",0,2
458,"""ENSG00000135749""",0,2
459,"""ENSG00000011347""",0,2
460,"""ENSG00000169851""",1,2
461,"""ENSG00000279192""",1,2
462,"""ENSG00000180921""",0,2
463,"""ENSG00000147117""",0,2
464,"""ENSG00000183023""",1,2
465,"""ENSG00000226711""",1,2
466,"""ENSG00000111670""",1,2
467,"""ENSG00000163590""",1,2
468,"""ENSG00000153363""",0,2
469,"""ENSG00000197302""",1,2
470,"""ENSG00000249839""",0,2
471,"""ENSG00000276115""",0,1
472,"""ENSG00000178568""",1,2
473,"""ENSG00000111647""",1,2
474,"""ENSG00000008196""",0,2
475,"""ENSG00000106346""",0,2
476,"""ENSG00000221923""",0,2
477,"""ENSG00000072062""",0,2
478,"""ENSG00000135966""",0,2
479,"""ENSG00000158805""",0,2
480,"""ENSG00000137073""",0,2
481,"""ENSG00000065457""",1,2
482,"""ENSG00000238035""",0,2
483,"""ENSG00000171853""",0,2
484,"""ENSG00000183826""",0,2
485,"""ENSG00000176022""",0,2
486,"""ENSG00000113569""",0,2
487,"""ENSG00000018610""",0,2
488,"""ENSG00000119596""",0,2
489,"""ENSG00000255690""",1,2
490,"""ENSG00000254221""",1,2
491,"""ENSG00000097096""",1,2
492,"""ENSG00000160959""",0,2
493,"""ENSG00000171189""",1,2
494,"""ENSG00000124772""",0,2
495,"""ENSG00000116128""",0,2
496,"""ENSG00000237440""",1,2
497,"""ENSG00000179397""",1,2
498,"""ENSG00000105875""",0,2
499,"""ENSG00000183696""",0,2
500,"""ENSG00000257489""",0,2
501,"""ENSG00000084092""",0,2
502,"""ENSG00000260267""",0,2
503,"""ENSG00000183763""",0,2
504,"""ENSG00000218336""",1,2
505,"""ENSG00000187325""",1,2
506,"""ENSG00000251669""",0,2
507,"""ENSG00000253910""",0,2
508,"""ENSG00000058056""",0,2
509,"""ENSG00000267904""",0,2
510,"""ENSG00000167281""",0,2
511,"""ENSG00000162728""",0,2
512,"""ENSG00000235919""",0,2
513,"""ENSG00000125459""",0,2
514,"""ENSG00000228439""",1,2
515,"""ENSG00000147027""",0,1
516,"""ENSG00000178295""",1,2
517,"""ENSG00000160172""",0,2
518,"""ENSG00000185261""",1,2
519,"""ENSG00000070476""",0,2
520,"""ENSG00000118200""",1,2
521,"""ENSG00000136874""",1,2
522,"""ENSG00000281912""",0,2
523,"""ENSG00000120328""",1,2
524,"""ENSG00000260565""",1,2
525,"""ENSG00000197037""",0,2
526,"""ENSG00000259024""",0,2
527,"""ENSG00000145916""",0,2
528,"""ENSG00000186479""",1,2
529,"""ENSG00000240445""",0,2
530,"""ENSG00000152457""",0,2
531,"""ENSG00000156853""",0,2
532,"""ENSG00000154478""",0,2
533,"""ENSG00000120875""",0,2
534,"""ENSG00000138642""",1,2
535,"""ENSG00000259985""",1,2
536,"""ENSG00000214960""",1,2
537,"""ENSG00000104524""",0,2
538,"""ENSG00000254470""",0,2
539,"""ENSG00000112877""",0,2
540,"""ENSG00000166685""",0,2
541,"""ENSG00000281195""",1,2
542,"""ENSG00000151012""",1,2
543,"""ENSG00000163347""",0,1
544,"""ENSG00000196693""",1,2
545,"""ENSG00000188312""",0,2
546,"""ENSG00000160352""",1,2
547,"""ENSG00000133114""",1,2
548,"""ENSG00000126767""",0,2
549,"""ENSG00000187790""",1,2
550,"""ENSG00000075461""",0,2
551,"""ENSG00000176953""",0,2
552,"""ENSG00000221946""",0,2
553,"""ENSG00000237973""",0,2
554,"""ENSG00000267080""",0,2
555,"""ENSG00000230724""",0,2
556,"""ENSG00000172831""",0,2
557,"""ENSG00000102349""",1,2
558,"""ENSG00000279879""",0,2
559,"""ENSG00000198752""",0,2
560,"""ENSG00000142197""",1,2
561,"""ENSG00000100325""",0,2
562,"""ENSG00000134480""",1,2
563,"""ENSG00000164161""",1,2
564,"""ENSG00000138463""",1,2
565,"""ENSG00000093217""",1,2
566,"""ENSG00000274964""",0,1
567,"""ENSG00000240230""",0,2
568,"""ENSG00000081692""",0,2
569,"""ENSG00000176623""",1,2
570,"""ENSG00000101752""",1,2
571,"""ENSG00000128973""",0,2
572,"""ENSG00000166432""",1,2
573,"""ENSG00000178947""",0,2
574,"""ENSG00000106785""",1,2
575,"""ENSG00000119599""",0,2
576,"""ENSG00000272631""",1,2
577,"""ENSG00000122390""",0,2
578,"""ENSG00000244968""",1,2
579,"""ENSG00000140104""",0,2
580,"""ENSG00000176422""",0,2
581,"""ENSG00000244055""",0,2
582,"""ENSG00000141384""",1,2
583,"""ENSG00000116198""",0,2
584,"""ENSG00000128594""",0,2
585,"""ENSG00000269067""",1,2
586,"""ENSG00000118894""",0,2
587,"""ENSG00000256043""",1,2
588,"""ENSG00000165164""",1,2
589,"""ENSG00000260948""",1,2
590,"""ENSG00000277142""",0,2
591,"""ENSG00000280650""",1,2
592,"""ENSG00000196296""",0,2
593,"""ENSG00000277954""",1,2
594,"""ENSG00000150076""",1,2
595,"""ENSG00000168924""",0,2
596,"""ENSG00000135298""",1,2
597,"""ENSG00000146909""",0,2
598,"""ENSG00000006607""",0,2
599,"""ENSG00000140836""",1,2
600,"""ENSG00000165684""",0,2
601,"""ENSG00000187391""",1,2
602,"""ENSG00000112531""",0,1
603,"""ENSG00000110455""",0,2
604,"""ENSG00000127511""",0,2
605,"""ENSG00000206052""",1,2
606,"""ENSG00000228434""",0,2
607,"""ENSG00000137809""",0,2
608,"""ENSG00000145725""",1,2
609,"""ENSG00000150995""",1,2
610,"""ENSG00000079616""",0,2
611,"""ENSG00000165194""",1,2
612,"""ENSG00000142408""",0,2
613,"""ENSG00000099622""",0,2
614,"""ENSG00000167740""",0,2
615,"""ENSG00000113070""",0,1
616,"""ENSG00000237296""",0,2
617,"""ENSG00000070366""",0,2
618,"""ENSG00000113716""",0,2
619,"""ENSG00000204946""",0,2
620,"""ENSG00000106246""",0,2
621,"""ENSG00000008311""",0,2
622,"""ENSG00000123636""",1,2
623,"""ENSG00000275835""",0,2
624,"""ENSG00000069424""",0,2
625,"""ENSG00000167548""",0,2
626,"""ENSG00000121039""",1,2
627,"""ENSG00000183579""",0,2
628,"""ENSG00000176884""",0,2
629,"""ENSG00000166436""",0,2
630,"""ENSG00000137337""",0,2
631,"""ENSG00000115841""",1,2
632,"""ENSG00000183873""",0,2
633,"""ENSG00000198521""",1,2
634,"""ENSG00000145526""",1,2
635,"""ENSG00000188803""",1,2
636,"""ENSG00000132549""",1,2
637,"""ENSG00000272145""",0,2
638,"""ENSG00000151338""",1,2
639,"""ENSG00000279659""",1,2
640,"""ENSG00000282936""",0,2
641,"""ENSG00000161267""",0,2
642,"""ENSG00000111196""",1,2
643,"""ENSG00000204685""",0,2
644,"""ENSG00000105855""",0,1
645,"""ENSG00000142279""",0,2
646,"""ENSG00000132768""",0,2
647,"""ENSG00000239883""",0,2
648,"""ENSG00000102290""",1,2
649,"""ENSG00000075223""",0,1
650,"""ENSG00000142634""",0,2
651,"""ENSG00000206579""",1,2
652,"""ENSG00000141456""",0,2
653,"""ENSG00000198208""",0,2
654,"""ENSG00000160716""",0,2
655,"""ENSG00000005156""",0,2
656,"""ENSG00000246339""",1,2
657,"""ENSG00000152558""",0,1
658,"""ENSG00000008853""",0,2
659,"""ENSG00000180104""",0,2
660,"""ENSG00000151914""",1,2
661,"""ENSG00000269897""",0,2
662,"""ENSG00000247077""",0,2
663,"""ENSG00000163909""",0,2
664,"""ENSG00000126759""",0,2
665,"""ENSG00000100577""",0,2
666,"""ENSG00000175727""",0,2
667,"""ENSG00000214029""",1,2
668,"""ENSG00000151834""",1,2
669,"""ENSG00000006210""",0,2
670,"""ENSG00000253731""",0,2
671,"""ENSG00000187801""",1,2
672,"""ENSG00000120645""",0,2
673,"""ENSG00000101417""",0,2
674,"""ENSG00000269937""",0,2
675,"""ENSG00000100228""",0,2
676,"""ENSG00000188295""",0,2
677,"""ENSG00000276547""",0,2
678,"""ENSG00000140836""",0,2
679,"""ENSG00000173064""",0,2
680,"""ENSG00000148843""",0,2
681,"""ENSG00000227627""",1,2
682,"""ENSG00000091651""",0,2
683,"""ENSG00000136160""",0,1
684,"""ENSG00000111799""",0,2
685,"""ENSG00000161010""",0,2
686,"""ENSG00000257298""",1,2
687,"""ENSG00000173898""",0,2
688,"""ENSG00000273284""",0,1
689,"""ENSG00000154654""",1,2
690,"""ENSG00000133466""",0,2
691,"""ENSG00000225648""",0,2
692,"""ENSG00000072609""",0,2
693,"""ENSG00000229152""",0,1
694,"""ENSG00000137760""",1,2
695,"""ENSG00000172869""",1,2
696,"""ENSG00000197429""",0,2
697,"""ENSG00000125843""",0,2
698,"""ENSG00000114026""",0,2
699,"""ENSG00000249158""",1,2
700,"""ENSG00000143994""",0,2
701,"""ENSG00000145734""",1,2
702,"""ENSG00000259326""",1,2
703,"""ENSG00000165078""",1,2
704,"""ENSG00000085982""",0,2
705,"""ENSG00000141385""",0,2
706,"""ENSG00000008311""",1,2
707,"""ENSG00000174373""",1,2
708,"""ENSG00000166257""",0,2
709,"""ENSG00000214279""",0,2
710,"""ENSG00000152990""",1,2
711,"""ENSG00000186532""",0,2
712,"""ENSG00000164989""",1,2
713,"""ENSG00000224223""",1,2
714,"""ENSG00000188803""",0,2
715,"""ENSG00000198042""",0,2
716,"""ENSG00000163933""",0,2
717,"""ENSG00000169946""",1,2
718,"""ENSG00000151176""",0,2
719,"""ENSG00000235288""",0,2
720,"""ENSG00000141384""",0,2
721,"""ENSG00000244039""",0,2
722,"""ENSG00000164418""",1,2
723,"""ENSG00000135439""",0,2
724,"""ENSG00000271105""",1,2
725,"""ENSG00000184445""",1,2
726,"""ENSG00000151131""",1,2
727,"""ENSG00000159640""",0,2
728,"""ENSG00000223509""",1,2
729,"""ENSG00000055332""",1,2
730,"""ENSG00000276115""",1,2
731,"""ENSG00000095485""",0,2
732,"""ENSG00000203772""",0,2
733,"""ENSG00000147912""",0,2
734,"""ENSG00000022976""",0,2
735,"""ENSG00000104059""",0,2
736,"""ENSG00000158077""",1,2
737,"""ENSG00000143924""",1,2
738,"""ENSG00000104228""",0,2
739,"""ENSG00000151117""",0,2
740,"""ENSG00000175229""",1,3
741,"""ENSG00000231154""",0,2
742,"""ENSG00000185742""",1,2
743,"""ENSG00000231074""",1,2
744,"""ENSG00000163633""",1,2
745,"""ENSG00000164597""",1,2
746,"""ENSG00000269743""",1,2
747,"""ENSG00000270757""",0,2
748,"""ENSG00000157388""",0,2
749,"""ENSG00000205583""",0,2
750,"""ENSG00000135637""",0,2
751,"""ENSG00000234456""",1,2
752,"""ENSG00000110318""",1,2
753,"""ENSG00000260729""",0,2
754,"""ENSG00000185238""",1,2
755,"""ENSG00000153250""",0,1
756,"""ENSG00000055813""",0,2
757,"""ENSG00000100393""",0,2
758,"""ENSG00000107518""",1,2
759,"""ENSG00000088247""",0,2
760,"""ENSG00000175893""",0,1
761,"""ENSG00000171634""",0,2
762,"""ENSG00000167113""",0,2
763,"""ENSG00000274422""",1,2
764,"""ENSG00000274105""",1,2
765,"""ENSG00000257176""",0,2
766,"""ENSG00000228327""",0,2
767,"""ENSG00000196182""",2,3
768,"""ENSG00000162669""",1,2
769,"""ENSG00000270696""",1,2
770,"""ENSG00000141431""",1,2
771,"""ENSG00000123600""",1,2
772,"""ENSG00000112238""",0,2
773,"""ENSG00000113569""",1,2
774,"""ENSG00000055044""",0,2
